spicy,2,0,0,0 
spies,0,1,0,0 
spite,0,8,0,3 
spoke,0,14,0,11 
spoon,0,1,0,0 
sport,1,1,0,4 
spots,0,1,0,0 
spray,2,0,0,0 
spume,1,0,0,0 
squat,0,1,0,0 
staff,0,0,0,7 
stage,0,0,0,15 
staid,0,1,0,0 
stake,0,1,0,0 
stall,1,0,0,0 
stamp,0,0,0,4 
stand,3,22,1,11 
stars,9,1,1,0 
start,2,7,2,8 
state,6,5,5,8 
stays,1,0,0,0 
stead,1,0,0,0 
steal,0,0,0,1 
steam,0,0,2,0 
steed,2,0,0,0 
steel,0,0,0,1 
steep,1,1,0,0 
steer,1,0,0,0 
steps,3,4,0,3 
stern,1,5,0,0 
stick,0,1,0,0 
still,19,20,2,62 
sting,3,0,0,0 
stock,0,2,0,6 
stole,1,3,0,1 
stone,1,3,1,2 
stony,0,1,0,0 
stood,1,24,1,29 
stool,0,1,0,0 
stoop,0,1,0,0 
store,1,10,0,8 
storm,1,5,0,0 
story,0,7,1,31 
stout,0,2,0,0 
straw,0,1,0,0 
stray,0,0,0,1 
strew,1,0,0,0 
strip,0,1,0,0 
stuck,0,2,0,0 
study,0,1,0,24 
stuff,0,3,0,0 
stump,0,3,0,0 
style,0,0,0,10 
suage,1,0,0,0 
suits,0,1,0,0 
sunny,5,0,0,1 
surer,0,0,0,1 
